iter	RMSE
0	1.134492481
1	1.107213049
2	1.083909554
3	1.060632616
4	1.039306027
5	1.018430501
6	0.9985756561
7	0.980969265
8	0.9640715271
9	0.9468012634
10	0.9303547958
11	0.9153125487
12	0.9014486016
13	0.8883811259
14	0.8757047681
15	0.8635108201
16	0.8517298604
17	0.8409029126
18	0.83112288
19	0.820726864
20	0.8109062021
21	0.8022547994
22	0.7941396473
23	0.7859452778
24	0.7780129147
25	0.7705488198
26	0.7638631308
27	0.7571610809
28	0.7501679379
29	0.7433287365
30	0.7373066252
31	0.731205887
32	0.7255393052
33	0.7207291771
34	0.715348349
35	0.7104027505
36	0.705344427
37	0.7006725562
38	0.6960278168
39	0.6920876763
40	0.6877967986
41	0.6838282596
42	0.6799062298
43	0.6760243315
44	0.6727623192
45	0.6690526373
46	0.6655776605
47	0.6624314495
48	0.6594185091
49	0.6562263563
50	0.6529942482
51	0.6502100999
52	0.6473673064
53	0.6444581744
54	0.6419913074
55	0.6392231599
56	0.6369148621
57	0.6345443608
58	0.6323261314
59	0.6302324873
60	0.6281670761
61	0.6259819133
62	0.6237752733
63	0.6217284985
64	0.6197458666
65	0.6177095477
66	0.6158241526
67	0.6140659928
68	0.6122906869
69	0.6106591069
70	0.6087643834
71	0.606983803
72	0.605599857
73	0.6039549626
74	0.6023712295
75	0.6009368754
76	0.5994905335
77	0.5978575829
78	0.5963902862
79	0.59499772
80	0.5935065201
81	0.5922176889
82	0.590898385
83	0.5896496765
84	0.588399375
85	0.5872443034
86	0.5861854041
87	0.5850077612
88	0.5837382966
89	0.5826998354
90	0.5815031424
91	0.5804552241
92	0.5794115005
93	0.5783963544
94	0.5773785449
95	0.5764126012
96	0.575298152
97	0.5743421514
98	0.5734386409
99	0.5725244876
100	0.5718171992
101	0.5709878738
102	0.5700115901
103	0.5691844079
104	0.568586118
105	0.5677258344
106	0.5670029431
107	0.566239919
108	0.5654287068
109	0.5646657764
110	0.5639760582
111	0.563227567
112	0.5624600725
113	0.561754213
114	0.5611898021
115	0.5605462353
116	0.5599079455
117	0.5593116971
118	0.5587615628
119	0.5581351774
120	0.5574708894
121	0.5568158558
122	0.5561840497
123	0.555592385
124	0.5550422038
125	0.5545411548
126	0.5540795368
127	0.5535478737
128	0.5531025145
129	0.5526491597
130	0.5521079544
131	0.5516227668
132	0.5511834957
133	0.5508153469
134	0.5504487069
135	0.5500335848
136	0.5496178445
137	0.5491572721
138	0.5486784192
139	0.5482645327
140	0.5478510535
141	0.5473989154
142	0.5469318395
143	0.546572129
144	0.546177805
145	0.5457840934
146	0.5453175022
